,Record,Rank,Revenue
0,All Time International Box Office (Rank 401-500),424,"$216,971,858"
1,All Time International Non-Sequel Box Office (Rank 201-300),233,"$216,971,858"
2,Top 2010 Movies at the International Box Office,18,"$216,971,858"
3,All Time International Box Office for Based on Folk Tale/Legend/Fairytale Movies,11,"$216,971,858"
4,All Time International Box Office for Live Action Movies (Rank 201-300),255,"$216,971,858"
5,All Time International Box Office for Historical Fiction Movies,36,"$216,971,858"
6,All Time International Box Office for Action Movies (Rank 101-200),152,"$216,971,858"
7,All Time International Box Office for PG-13 Movies (Rank 201-300),215,"$216,971,858"
8,All Time International Box Office for Universal Movies,54,"$216,971,858"
